timestamp,price,total_volumes,coin_id
1763064200069,3191.16,43799906054.333336,5
1763067851054,3180.52,45104416721.819,5
1763071320124,3181.21,45954149194.1512,5
1763075068034,3217.46,47651260461.48931,5
1763078620547,3223.18,48625450123.82115,5
1763082075051,3196.54,48385401992.33884,5
1763086015704,3221.83,47962727391.00457,5
1763089313873,3234.07,49482562793.6361,5
1763092912134,3219.1,48883394765.68381,5
1763096565366,3172.67,49597795002.30009,5
1763100119936,3192.28,49221604335.41401,5
1763103756456,3175.34,50542916444.002075,5
1763107366001,3211.11,51215161598.74768,5
1763111007679,3204.59,51724155521.04259,5
1763114868273,3159.05,50587166307.72224,5
1763118130529,3183.65,51342062999.07758,5
1763121781071,3135.58,52023172632.524506,5
1763125436899,3132.12,53418274900.77304,5
1763128925543,3122.09,53503044583.614624,5
1763132879047,3197.23,55377709226.788445,5
1763136123436,3209.27,56031886979.17243,5
1763139893287,3230.3,53187508235.99822,5
1763143366072,3182.45,50644533697.920845,5
1763146828083,3162.52,49065084225.59463,5
1763150638387,3206.4,47153716633.46287,5
1763154139334,3130.06,46271300971.402245,5
1763157697378,3165.74,45702095335.90068,5
1763161381934,3150.2,45593044513.06792,5
1763164921387,3106.6,45035057857.22528,5
1763168507502,3126.91,44780277346.18947,5
1763172287072,3165.47,43179096502.554306,5
1763175668870,3188.09,43292575417.45552,5
1763179416140,3177.59,42053496387.95067,5
1763182982324,3168.83,40383803448.70758,5
1763186466859,3177.04,39453910250.04899,5
1763190029675,3173.29,37255938770.53802,5
1763193725669,3173.78,35239631265.4489,5
1763197341531,3137.27,35278062987.525055,5
1763200918248,3149.92,34149396542.623543,5
1763204550988,3167.55,33853250655.84723,5
1763208113070,3147.02,32681287250.402077,5
1763211707245,3160.92,30318153178.451374,5
1763215420301,3179.19,28363433127.176258,5
1763218858641,3175.85,24196500198.093994,5
1763222456697,3187.39,22339631553.022846,5
1763226080353,3184.07,20957329302.78003,5
1763229625215,3212.49,21817918384.559063,5
1763233431608,3204.04,22394978902.884064,5
1763236892808,3196.57,21321698891.80209,5
1763240553012,3171.06,20724907327.062405,5
1763244108114,3152.66,20104438184.89777,5
1763247744871,3166.97,20079692602.138966,5
1763251213709,3170.11,19159039393.797318,5
1763254914553,3158.73,18116384688.2908,5
1763258445745,3149.56,18214449529.586437,5
1763262087316,3195.34,18640362007.44712,5
1763265697000,3200.19,18629660964.56542,5
1763269283919,3190.42,18508707596.63473,5
1763272913305,3206.85,18186043195.186287,5
1763276509084,3206.86,18378717083.095592,5
1763280181615,3211.99,18449701633.172962,5
1763283677718,3216.19,18122898286.55863,5
1763287318669,3237.52,18495477231.375656,5
1763290970458,3233.24,18594760448.570732,5
1763294484205,3165.71,19758417329.93696,5
1763298054560,3165.64,20873322641.302525,5
1763301712909,3146.68,21296127451.647507,5
1763305296408,3171.08,21475039400.66714,5
1763309179441,3098.78,21079457650.466072,5
1763312618659,3061.93,24069340890.04588,5
1763316189691,3090.97,24826764684.48634,5
1763320029962,3065.45,26300408412.654346,5
1763323330941,3089.65,26908846245.027,5
1763326898042,3093.21,26874121424.63043,5
1763330518166,3071.1,26879212490.732464,5
1763334154809,3076.14,29019013503.663204,5
1763337737159,3101.69,30332766567.569996,5
1763341288777,3130.94,30960499855.251263,5
1763344892193,3118.41,32072205131.644955,5
1763348587811,3144.31,31654113923.857304,5
1763352031165,3173.73,32505864339.72739,5
1763355833421,3183.14,32868022199.010372,5
1763359458842,3186.02,33065429418.179165,5
1763362876261,3192.37,33649243555.554543,5
1763366458223,3196.92,34203854738.093643,5
1763370015139,3185.46,34727608119.35276,5
1763373671712,3192.14,34854875444.44275,5
1763377259304,3195.17,35310281679.89412,5
1763380881083,3203.55,33496714496.896255,5
1763384513303,3181.94,33871359589.174294,5
1763388185835,3108.1,34013285627.62973,5
1763391750877,3151.04,36702371859.33186,5
1763395367129,3120.4,38844069343.192535,5
1763399015235,3130.14,37539875020.9258,5
1763402466566,3056.18,36839048552.91469,5
1763406115254,3026.96,37078995235.36457,5
1763409722112,2980.38,38752164841.87451,5
1763413334049,3004.16,41368788573.96354,5
1763416924867,2998.46,40938823196.253296,5
1763420559764,3017.85,41017629243.96309,5
1763424100035,3021.3,39723178401.3899,5
1763427647274,3030.97,40125929951.73379,5
1763431334650,3013.63,39284201612.808136,5
1763434898327,3006.11,40837412107.2113,5
1763438510647,3016.11,43548276901.42897,5
1763442090213,3003.18,43955186340.64386,5
1763445951350,3000.14,45048785325.57677,5
1763449308562,2990.94,47542983925.590164,5
1763452889816,3023.17,46416048512.38158,5
1763456516780,3058.1,47618037630.52314,5
1763460168370,3052.04,47662830192.35362,5
1763463668151,3057.93,48798086019.98308,5
1763467417222,3060.91,49926217790.756355,5
1763470872797,3048.53,50309437477.63187,5
1763474566806,3051.78,49973788768.95845,5
1763478079912,3058.06,48647993157.343636,5
1763481696249,3105.19,48293630301.921715,5
1763485313558,3148.9,49114734986.150375,5
1763488912129,3131.49,48491067417.40508,5
1763492508032,3162.49,47634732040.014,5
1763496104390,3139.7,45197143709.253296,5
1763499671076,3122.76,42435319307.23039,5
1763503382323,3098.06,41473850703.13265,5
1763506917732,3123.39,40805878119.95597,5
1763510497375,3117.22,40531057646.65946,5
1763514113599,3097.75,39832013182.97859,5
1763517729465,3101.86,38669748818.99404,5
1763521283061,3119.62,37882659117.12904,5
1763524914415,3072.83,34919999547.706085,5
1763528577991,3048.34,33320609009.64071,5
1763532164163,3009.76,34278534062.342243,5
1763535647476,3038.3,33615249495.038525,5
1763539285401,3082.88,33140154802.96159,5
1763543024113,3078.31,32938676840.545387,5
1763546594733,3084.96,32420720212.618374,5
1763550010970,3088.5,31970858530.88236,5
1763553694659,3080.59,32139520195.987312,5
1763557386632,3095.7,31310399152.881706,5
1763560820008,3062.66,30739961037.132313,5
1763564531098,3049.18,31443122801.14684,5
1763569611000,2956.93,29910323871.00095,5
1762704266745,2.32,2575948491.3620367,6
1762707751621,2.33,2580498140.8389935,6
1762711308297,2.31,2567966218.2217765,6
1762714863492,2.33,2583440368.47609,6
1762718508269,2.34,2647101373.743619,6
1762722390496,2.34,2704027301.4976306,6
1762725718689,2.34,2693869899.3508143,6
1762729261353,2.34,2748974226.4802504,6
1762732976075,2.37,2983765683.3379188,6
1762736878506,2.42,3277075424.738446,6
1762740102349,2.4,3429513796.822026,6
1762743755948,2.42,3520025045.028179,6
1762747323766,2.46,3777914422.2674866,6
1762750958364,2.46,3925607362.4859543,6
1762754509339,2.45,3953164931.024012,6
1762758189985,2.47,4091165183.2849574,6
1762761768182,2.48,4201518967.8383956,6
1762765485881,2.49,4335104964.1156435,6
1762768996355,2.54,4615265244.955245,6
1762772568214,2.54,4798130681.398945,6
1762776099127,2.54,5002212704.032387,6
1762780021946,2.53,5119605329.077911,6
1762783395506,2.56,5184722766.660269,6
1762786873514,2.51,5315759901.342002,6
1762790571902,2.52,5448110186.713629,6
1762794117741,2.53,5617474282.981986,6
1762797736064,2.55,5702184395.815479,6
1762801262548,2.54,5805272389.06214,6
1762804962328,2.56,5819023643.188355,6
1762808449792,2.57,5958126266.840883,6
1762812110636,2.52,6080209165.689109,6
1762815778132,2.53,6122825767.731972,6
1762819357055,2.53,5952577470.307984,6
1762822946993,2.53,5863198474.647546,6
1762826507173,2.54,5823020667.414695,6
1762830067266,2.54,5843925416.527674,6
1762833633542,2.53,5595296439.676832,6
1762837308408,2.5,5528306198.466148,6
1762840952821,2.48,5545511877.593941,6
1762844485784,2.47,5651694172.418831,6
1762848018526,2.45,5603423090.149855,6
1762851721305,2.45,5597291080.953937,6
1762855490836,2.46,5276374631.127533,6
1762858933676,2.46,5139750366.957531,6
1762862622570,2.46,4943617363.830342,6
1762866141344,2.46,4935306850.425692,6
1762869783974,2.45,4891619105.49915,6
1762873303664,2.45,4766363329.040544,6
1762876952203,2.43,4660411632.26066,6
1762880643541,2.43,4481017970.383166,6
1762884104818,2.43,4445738547.892438,6
1762887737630,2.43,4391015484.027837,6
1762891308141,2.42,4356873914.183944,6
1762894917433,2.4,4256987354.644081,6
1762898522422,2.39,4131712613.416868,6
1762902079497,2.41,4157694822.720803,6
1762905676508,2.39,4116673287.9246264,6
1762909351335,2.39,4108990037.638308,6
1762912896943,2.41,4068729568.2862573,6
1762916537760,2.39,4003508946.006585,6
1762920128379,2.4,3954832890.834184,6
1762923611737,2.39,3863753964.1236706,6
1762927297474,2.4,3747165658.2111745,6
1762931187805,2.39,3620086869.98462,6
1762934566206,2.37,3609254073.606344,6
1762938128107,2.41,3627277391.6093936,6
1762941777633,2.42,3732036737.619422,6
1762945286249,2.42,3803134225.668976,6
1762948926583,2.43,3877108037.3764677,6
1762952513349,2.44,3784025413.8011856,6
1762956218519,2.45,3776185630.756985,6
1762959768929,2.41,3650540193.6273484,6
1762963392634,2.37,3889802268.8686447,6
1762966966135,2.34,4095042895.4899235,6
1762970544694,2.35,4219698317.71361,6
1762974023170,2.34,4274297448.1411347,6
1762977658650,2.34,4318238995.242285,6
1762981336423,2.35,4398347213.208571,6
1762984938613,2.39,4435994983.9893055,6
1762988499821,2.38,4371316888.226516,6
1762992094176,2.38,4420961765.056469,6
1762995692165,2.39,4541679925.118688,6
1762999276329,2.4,4558800698.253418,6
1763002933492,2.42,4565114499.743822,6
1763006613217,2.49,5373017021.325889,6
1763010159087,2.47,5233054709.506311,6
1763013693681,2.49,5347348353.025623,6
1763017255028,2.5,5487432245.296493,6
1763020901761,2.49,5590842950.0452,6
1763024516332,2.5,5576581582.461308,6
1763028054612,2.5,5577759103.9811125,6
1763031775992,2.5,5628083857.793184,6
1763035299361,2.49,5633233518.671327,6
1763038969608,2.48,5665480503.122838,6
1763042601386,2.46,5737773570.760329,6
1763046054944,2.5,6010096653.30919,6
1763049624348,2.43,6039776791.720147,6
1763053404915,2.4,5928710154.361346,6
1763056966572,2.36,6032527597.051718,6
1763060472703,2.34,6307490491.00263,6
1763064196952,2.31,6461441580.193211,6
1763067860612,2.3,6738717171.509599,6
1763071318985,2.29,6818162743.8587265,6
1763075068134,2.32,6973475476.548634,6
1763078621006,2.32,7193111620.737252,6
1763082124373,2.3,7270081906.5267,6
1763086006345,2.31,7356856179.709991,6
1763089313613,2.33,7445564539.395583,6
1763092912010,2.31,7161766258.284357,6
1763096562653,2.29,7121482971.283546,6
1763100125270,2.31,7351963839.720855,6
1763103747266,2.29,7294272762.807872,6
1763107344344,2.31,7377972614.911643,6
1763111001033,2.29,7329881410.328914,6
1763114814941,2.28,7136971952.754152,6
1763118122626,2.29,7230906431.9339485,6
1763121775552,2.26,7257296887.476244,6
1763125386598,2.28,7749204746.54413,6
1763128924017,2.27,7901104581.130668,6
1763132871234,2.3,7928236382.349824,6
1763136162780,2.32,7903379134.615828,6
1763139892821,2.33,7722121987.378332,6
1763143320241,2.31,7743014522.37005,6
1763147032296,2.29,7485903776.092693,6
1763150626410,2.31,7292626507.356034,6
1763154131812,2.27,7074003450.088711,6
1763157713572,2.27,6977585641.640254,6
1763161356620,2.26,6781771087.294633,6
1763164842250,2.24,6698400743.135106,6
1763168483732,2.26,6596615005.9194975,6
1763172290198,2.27,6474680476.506663,6
1763175702984,2.29,6371045703.57299,6
1763179365976,2.29,6187822167.423695,6
1763182991929,2.28,5859339452.616713,6
1763186620207,2.28,5825791172.161971,6
1763190175509,2.28,5663539089.466876,6
1763193780524,2.28,5531579817.356277,6
1763197344878,2.25,5502230629.740237,6
1763200918299,2.26,5401348534.780233,6
1763204423643,2.26,5232778684.89961,6
1763208117488,2.25,5130593025.36844,6
1763211712344,2.26,4679543297.780368,6
1763215311107,2.26,4372862072.127883,6
1763219049589,2.26,3993804167.0911674,6
1763222442103,2.25,3738221174.6945825,6
1763226083817,2.25,3534121709.0830173,6
1763229810098,2.26,3346651302.333468,6
1763233423889,2.25,3341713997.4469943,6
1763236892831,2.25,3206508047.9303026,6
1763240555987,2.24,3045859177.6517076,6
1763244107642,2.22,3005882665.6489854,6
1763247744676,2.24,2947002556.7935524,6
1763251284486,2.24,2804052321.7763157,6
1763254914594,2.22,2855935402.4997272,6
1763258554204,2.21,2902901608.8792434,6
1763262084552,2.24,2991971204.5336375,6
1763265693332,2.25,2965748817.803755,6
1763269294371,2.24,2948655792.910978,6
1763272922222,2.26,2944405883.5632706,6
1763276552047,2.27,2920601265.6881757,6
1763280183698,2.26,2889172165.1396008,6
1763283664190,2.26,2902822849.3398438,6
1763287261337,2.27,2805044283.0957804,6
1763290950405,2.27,2849926911.5424385,6
1763294473939,2.23,2934532101.4411254,6
1763298060470,2.24,3003215794.1662736,6
1763301717829,2.21,3042349926.5974026,6
1763305297728,2.22,3051229153.328836,6
1763309193381,2.19,3185610625.3642926,6
1763312584868,2.17,3286197062.84813,6
1763316183215,2.18,3489043593.9074655,6
1763320028475,2.19,3711921516.5962033,6
1763323334720,2.22,3848718877.2543917,6
1763327184213,2.2,3851764647.5422974,6
1763330517826,2.19,3822677067.195085,6
1763334155226,2.2,3965052656.744494,6
1763337739837,2.22,4122565537.6581736,6
1763341300091,2.23,4192083115.741395,6
1763344895229,2.23,4144338793.1452475,6
1763348463208,2.24,4129899490.983541,6
1763352165515,2.25,4186254323.3269854,6
1763355671880,2.25,4250031279.1372113,6
1763359312703,2.25,4274391976.8560624,6
1763362909908,2.26,4347862912.952726,6
1763366470421,2.26,4191127931.9742455,6
1763370040372,2.27,4344252515.68356,6
1763373776564,2.27,4281996699.1062245,6
1763377284693,2.27,4399275358.901118,6
1763380912917,2.27,4355920570.190448,6
1763384513666,2.26,4347453678.037161,6
1763388174208,2.21,4457953158.15331,6
1763391739594,2.25,5015828779.934996,6
1763395323424,2.21,5228273318.115195,6
1763399001335,2.21,5302219659.753727,6
1763402546355,2.16,5326159658.958897,6
1763406115792,2.16,5446259776.903227,6
1763409725698,2.12,5600872617.534416,6
1763413359765,2.14,5852377259.074119,6
1763416916531,2.14,6046555660.389542,6
1763420560386,2.16,6006014827.666725,6
1763424095058,2.16,5961092428.323819,6
1763427610549,2.15,5927429451.752748,6
1763431312003,2.14,6002068580.147386,6
1763434899366,2.14,6696709476.639091,6
1763438506288,2.16,6425721075.109496,6
1763442093840,2.15,6574114186.539887,6
1763445955314,2.15,6697517294.035082,6
1763449328517,2.14,7199536382.429516,6
1763452864304,2.16,6859782697.979003,6
1763456512994,2.19,6969761330.137046,6
1763460053646,2.18,7022112234.703697,6
1763463712767,2.19,7068442860.580978,6
1763467356006,2.18,7103457126.090553,6
1763470880223,2.18,7190651812.192358,6
1763474566562,2.18,7857331990.132698,6
1763478076203,2.17,6778980716.31938,6
1763481743142,2.21,6934199008.478829,6
1763485311496,2.22,6845473551.933796,6
1763488911740,2.22,6755432707.589406,6
1763492508168,2.23,6424239358.476031,6
1763496109427,2.22,6142717066.227927,6
1763499665562,2.23,5926178491.846949,6
1763503374015,2.21,5739731531.525275,6
1763506869042,2.22,5676299378.447967,6
1763510506356,2.21,5619054259.061808,6
1763514012094,2.21,5526319412.063743,6
1763517637502,2.2,5408206835.990276,6
1763521310894,2.21,5138796014.586231,6
1763524914117,2.18,4819543589.485363,6
1763528554431,2.17,4713760207.794088,6
1763532166352,2.14,4765485182.533004,6
1763535627840,2.15,4716316283.899854,6
1763539285559,2.17,4600053885.5614,6
1763542820181,2.15,4606218734.523357,6
1763546585170,2.14,4662855344.934311,6
1763550115984,2.13,4641055978.349688,6
1763553688703,2.14,4570812357.24703,6
1763557223816,2.14,4585669914.940518,6
1763561014906,2.12,4494801808.896007,6
1763564514265,2.12,4550119310.920829,6
1763569631000,2.09,4452412843.011262,6
1762707743672,162.89,3966879583.728956,7
1762711308347,161.65,3984777302.3483286,7
1762714882988,163.72,4021414844.830884,7
1762718563446,165.53,4229703930.0474086,7
1762722389396,165.43,4349777190.466404,7
1762725722312,164.71,4386024524.200692,7
1762729331981,165.42,4483289973.864245,7
1762732936602,164.27,4600362342.428592,7
1762736865741,167.8,4889560513.240392,7
1762740053954,167.16,5122750580.22655,7
1762743741589,167.04,5168383211.888071,7
1762747323791,167.97,5261065814.258012,7
1762750941505,168.05,5303159243.363337,7
1762754581513,167.41,5333580055.378151,7
1762758224372,167.15,5369280506.483387,7
1762761738595,167.42,5314239358.850718,7
1762765493584,166.61,5357957097.751926,7
1762769034528,169.35,5517410405.549908,7
1762772576544,168.32,5600122409.811492,7
1762776271274,168.25,5602331157.329277,7
1762780005385,168.33,5670624002.825276,7
1762783395616,169.73,5733818190.442387,7
1762786893120,165.98,5492505807.675621,7
1762790562250,165.97,5544186693.4360285,7
1762794122338,166.02,5628829682.654791,7
1762797730135,167.81,5710718761.088176,7
1762801342946,166.58,5751545096.104384,7
1762804964134,167.48,5616068732.285208,7
1762808600490,167.57,5576419253.147101,7
1762812111552,165.2,5593267669.749186,7
1762815796190,167.35,5653691519.854389,7
1762819319157,167.38,5558136469.523835,7
1762822955055,166.69,5342570526.261681,7
1762826490055,167.94,5422545212.2348,7
1762830065352,170.1,5585792689.412903,7
1762833665405,169.89,5623912406.892927,7
1762837293860,167.02,5736863334.446891,7
1762840951148,165.62,5762712281.714391,7
1762844565475,164.28,5918382813.7402935,7
1762848254635,164.14,6003930193.489824,7
1762851717868,164.16,5998255774.746456,7
1762855393334,164.01,5970699236.947145,7
1762858933715,163.43,5996062060.33966,7
1762862490768,163.4,6018476138.270539,7
1762866180781,163.43,6005277831.6619005,7
1762869629011,162.92,5942608453.1865,7
1762873260503,162.25,6015148016.765479,7
1762877016578,160.83,6080071233.026487,7
1762880465402,160.63,6039831176.22084,7
1762884063263,159.38,6048329731.663041,7
1762887730939,159.1,6013297934.8531,7
1762891315250,158.02,5986053570.774412,7
1762894922303,156.52,5976862224.148045,7
1762898443238,156.05,6002043602.753105,7
1762902107610,156.87,6034577749.176905,7
1762905794507,154.66,6147831536.860157,7
1762909369323,154.15,6242336448.13791,7
1762912906234,155.2,6134496277.715998,7
1762916536274,154.24,6009925408.008332,7
1762920131528,154.74,5882626868.326906,7
1762923700032,154.48,5780448776.940712,7
1762927294726,155.42,5674398859.494476,7
1762931203827,155.98,5521376693.507066,7
1762934513372,155.41,5466549905.0043335,7
1762938129725,157.83,5688696027.767454,7
1762941800106,158.03,5752534100.687851,7
1762945287646,160.08,5802097834.283065,7
1762948926891,159.85,5899688240.201365,7
1762952529931,159.76,5989121504.277942,7
1762956153906,160.68,5999713008.5955305,7
1762959757685,158.35,5888061992.272855,7
1762963371386,155.72,5671441789.944927,7
1762966987411,152.87,5899939459.568074,7
1762970546715,153.39,5942027636.999403,7
1762974143673,153.22,5988872667.328295,7
1762977641073,153.21,6169914924.9406395,7
1762981323904,153.71,6170315791.583714,7
1762984961398,153.94,6085669497.148804,7
1762988489238,153.71,6020440754.211149,7
1762992061846,153.26,5886067748.38089,7
1762995699197,153.03,5906748564.087221,7
1762999276798,152.65,5905036883.403324,7
1763002926631,152.89,5843991706.204598,7
1763006607412,154.38,6108934195.346163,7
1763010160509,154.11,6227310071.991329,7
1763013676477,156.15,6226796935.360706,7
1763017446773,156.86,6303882352.9024725,7
1763021061323,155.14,6363090221.211337,7
1763024508608,155.93,6197338317.46753,7
1763028059883,154.87,6128507387.31409,7
1763031776480,155.31,6031546637.9413,7
1763035280248,156.31,5946656158.765544,7
1763038923439,156.41,5848393989.223594,7
1763042601918,153.84,5888352410.033823,7
1763046057161,155.41,5937374270.247681,7
1763049683773,152.81,5870525387.513945,7
1763053267835,151.04,5610451909.422172,7
1763056966717,147.91,5780060795.964693,7
1763060520347,144.95,6144196868.238893,7
1763064200112,142.53,6329348702.080451,7
1763067840345,142.63,6691156768.013607,7
1763071336033,142.05,6878051392.223386,7
1763075068960,144.14,7081167362.326729,7
1763078615615,144.6,7320956526.904868,7
1763082129589,143.35,7429328170.446743,7
1763086006485,144.1,7491559112.511327,7
1763089311095,144.92,7543903029.670742,7
1763092916901,143.98,7331478570.244915,7
1763096559589,141.99,7710460913.669364,7
1763100125559,142.96,7898314866.23602,7
1763103748392,141.46,7929275473.516547,7
1763107363627,142.74,8168118506.447477,7
1763111008452,142.35,8276629162.877887,7
1763114868408,141.0,8309764506.683181,7
1763118124792,142.19,8403983190.70155,7
1763121776611,140.25,8571010399.225864,7
1763125426621,138.65,9142258672.395748,7
1763128906371,138.17,9517937454.79614,7
1763132836515,141.41,9998033273.882645,7
1763136149301,142.68,10190933068.570581,7
1763139892672,143.45,10262309405.877592,7
1763143320416,141.31,10022169275.850904,7
1763146846356,141.08,9611898703.825031,7
1763150641455,142.9,9282398986.336622,7
1763154173147,139.7,8927070532.980066,7
1763157731916,140.45,8811184745.032831,7
1763161339680,140.54,8696647552.32913,7
1763164921457,139.0,8537259511.224628,7
1763168488390,140.66,8434975388.69802,7
1763172289342,141.78,8339944759.789507,7
1763175743024,142.63,8414239984.733055,7
1763179397744,142.53,8335230443.062139,7
1763182995385,142.27,7809970367.160022,7
1763186620702,142.78,7603499957.104569,7
1763190250717,142.49,7369864249.359379,7
1763193760569,142.54,7127904887.680488,7
1763197341989,140.76,6965627655.976237,7
1763200919066,140.91,6852845787.245202,7
1763204542428,141.19,6758630834.131675,7
1763208113532,139.99,6461868655.027617,7
1763211721340,140.56,5869440891.757023,7
1763215402107,141.27,5359401773.697022,7
1763218998414,141.34,4642340740.781034,7
1763222458147,141.82,4294427504.9460278,7
1763226081452,142.58,4013325330.5946407,7
1763229631219,143.26,4020857118.4242644,7
1763233332881,142.4,3949919382.0746446,7
1763236893099,141.76,3808075197.986307,7
1763240555985,140.67,3716584946.7168818,7
1763244099557,138.84,3643572753.7749434,7
1763247744908,139.58,3658463392.675859,7
1763251274060,139.59,3515375946.078547,7
1763254914727,139.45,3463735930.1308484,7
1763258422364,138.42,3481988210.1953063,7
1763262091213,140.37,3491312274.0255847,7
1763265694836,141.2,3458696919.050688,7
1763269294719,141.0,3429593934.0557203,7
1763272907511,141.55,3433171366.4185185,7
1763276552372,141.99,3387254143.834545,7
1763280184138,141.82,3362001377.4752707,7
